barrio,Con muertos,Atropello,Ciclo Ruta,Glorieta,Interseccion,Lote o Predio,Paso Elevado,Paso Inferior,Paso a Nivel,Pontón,Puente,Tramo de via,Tunel,Via peatonal,cluster
Aguas frias,0,18,0,0,2,13,0,0,0,0,0,68,0,0,4
Aldea Pablo VI,0,24,0,0,1,15,0,0,0,0,0,70,0,0,4
Alejandría,0,18,1,4,96,88,0,0,1,0,1,440,0,0,0
Alejandro Echavarría,2,108,3,20,193,148,0,1,0,0,0,667,0,0,2
Alfonso López,0,149,9,0,161,158,0,0,1,0,0,835,0,0,2
Altamira,0,49,9,11,99,117,0,0,0,0,0,541,0,0,0
Altavista,0,62,2,0,63,40,0,0,0,0,0,266,0,0,0
Altavista Sector Central,0,39,2,0,14,27,0,0,0,0,0,172,0,0,0
Altos del Poblado,1,16,1,1,39,34,2,0,0,0,0,247,0,0,0
Andalucía,0,69,2,0,26,39,0,0,0,0,0,198,0,0,0
Antonio Nariño,0,38,2,0,38,42,0,0,0,0,0,187,0,0,0
Aranjuez,0,67,1,1,80,63,0,0,0,0,0,306,0,0,0
Área de Expansión Altavista,0,6,0,0,3,5,0,0,0,0,0,31,0,0,4
Área de Expansión Altos de Calasanz,0,9,0,0,4,23,0,0,0,0,0,93,0,0,4
Area De Expansion Belen Rincon,0,0,0,2,1,5,0,0,0,0,0,3,0,0,4
Área de Expansión Pajarito,3,120,1,0,101,225,0,2,0,1,1,691,2,0,2
Área de Expansión San Antonio de Prado,0,11,0,1,10,10,1,0,0,0,0,59,0,0,4
Asomadera N°1,2,27,2,0,59,72,9,0,0,0,3,725,0,0,2
Asomadera No. 2,0,12,3,2,71,52,0,0,0,1,0,486,0,0,0
Asomadera No. 3,0,2,1,1,11,10,0,0,0,0,0,109,0,0,4
Astorga,0,11,1,0,129,14,0,0,0,0,0,179,0,0,0
AUC1,0,2,0,0,1,2,0,0,0,0,0,12,0,0,4
AUC2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
