fecha,anio,dia,mes,semana_del_mes,quincena,dia_especial,prediccion
2021-01-01,2021,Friday,1,1,0,1,9.8506503287001
2021-01-02,2021,Saturday,1,1,0,0,10.367635284803713
2021-01-03,2021,Sunday,1,1,0,0,8.614614541798339
2021-01-04,2021,Monday,1,1,0,0,9.081495274227253
2021-01-05,2021,Tuesday,1,1,0,0,9.467198402012102
2021-01-06,2021,Wednesday,1,1,0,0,9.481875267451482
2021-01-07,2021,Thursday,1,1,0,0,9.39657478672638
2021-01-08,2021,Friday,1,2,0,0,10.037239024380083
2021-01-09,2021,Saturday,1,2,0,0,10.455619779682726
2021-01-10,2021,Sunday,1,2,0,0,8.687722100871953
2021-01-11,2021,Monday,1,2,0,1,9.064589452238756
2021-01-12,2021,Tuesday,1,2,0,0,9.547541377670331
2021-01-13,2021,Wednesday,1,2,0,0,9.562342797702598
2021-01-14,2021,Thursday,1,2,0,0,9.476318418084126
2021-01-15,2021,Friday,1,3,1,0,10.297188628971787
2021-01-16,2021,Saturday,1,3,0,0,10.703916943724924
2021-01-17,2021,Sunday,1,3,0,0,8.894035720254422
2021-01-18,2021,Monday,1,3,0,0,9.376060062861226
2021-01-19,2021,Tuesday,1,3,0,0,9.774273747209797
2021-01-20,2021,Wednesday,1,3,0,0,9.78942666726743
2021-01-21,2021,Thursday,1,3,0,0,9.70135940449637
2021-01-22,2021,Friday,1,4,0,0,9.968477402171635
2021-01-23,2021,Saturday,1,4,0,0,10.383991976907533
2021-01-24,2021,Sunday,1,4,0,0,8.628205548212291
2021-01-25,2021,Monday,1,4,0,0,9.095822863688328
2021-01-26,2021,Tuesday,1,4,0,0,9.482134503166668
2021-01-27,2021,Wednesday,1,4,0,0,9.496834523835032
2021-01-28,2021,Thursday,1,4,0,0,9.41139946722438
2021-01-29,2021,Friday,1,5,0,0,9.781826795404585
2021-01-30,2021,Saturday,1,5,1,0,10.210968511037278
2021-01-31,2021,Sunday,1,5,1,0,8.484437907452104
2021-02-01,2021,Monday,2,1,0,0,10.132649724538433
2021-02-02,2021,Tuesday,2,1,0,0,10.56299677350888
2021-02-03,2021,Wednesday,2,1,0,0,10.57937243985685
2021-02-04,2021,Thursday,2,1,0,0,10.484198697381304
2021-02-05,2021,Friday,2,1,0,0,11.104777579433197
2021-02-06,2021,Saturday,2,1,0,0,11.567656387028197
2021-02-07,2021,Sunday,2,1,0,0,9.611729019083274
2021-02-08,2021,Monday,2,2,0,0,10.21864002447753
2021-02-09,2021,Tuesday,2,2,0,0,10.652639195333652
2021-02-10,2021,Wednesday,2,2,0,0,10.669153833076003
2021-02-11,2021,Thursday,2,2,0,0,10.573172402692132
2021-02-12,2021,Friday,2,2,0,0,11.199017800971687
2021-02-13,2021,Saturday,2,2,0,0,11.66582480983513
2021-02-14,2021,Sunday,2,2,0,0,9.693298547662035
2021-02-15,2021,Monday,2,3,1,0,10.483287645937551
2021-02-16,2021,Tuesday,2,3,0,0,10.905615121916789
2021-02-17,2021,Wednesday,2,3,0,0,10.922521944704403
2021-02-18,2021,Thursday,2,3,0,0,10.824261173882833
2021-02-19,2021,Friday,2,3,0,0,11.46496897542457
2021-02-20,2021,Saturday,2,3,0,0,11.94286158790579
2021-02-21,2021,Sunday,2,3,0,0,9.923492318123714
2021-02-22,2021,Monday,2,4,0,0,10.148635687314636
2021-02-23,2021,Tuesday,2,4,0,0,10.57966168128888
2021-02-24,2021,Wednesday,2,4,0,0,10.596063183010598
2021-02-25,2021,Thursday,2,4,0,0,10.500739287914971
2021-02-26,2021,Friday,2,4,0,0,11.122297237750502
2021-02-27,2021,Saturday,2,4,0,0,11.585906314681685
2021-02-28,2021,Sunday,2,4,0,0,9.626893141646589
2021-03-01,2021,Monday,3,1,0,0,9.99700460690279
2021-03-02,2021,Tuesday,3,1,0,0,10.421590628139255
2021-03-03,2021,Wednesday,3,1,0,0,10.437747074515302
2021-03-04,2021,Thursday,3,1,0,0,10.34384741669134
2021-03-05,2021,Friday,3,1,0,0,10.956118649930083
2021-03-06,2021,Saturday,3,1,0,0,11.412800929270956
2021-03-07,2021,Sunday,3,1,0,0,9.483057432783582
2021-03-08,2021,Monday,3,2,0,0,10.081843760333536
2021-03-09,2021,Tuesday,3,2,0,0,10.510033012739399
2021-03-10,2021,Wednesday,3,2,0,0,10.526326570108878
2021-03-11,2021,Thursday,3,2,0,0,10.431630036841675
2021-03-12,2021,Friday,3,2,0,0,11.049097283800577
2021-03-13,2021,Saturday,3,2,0,0,11.509655177837017
2021-03-14,2021,Sunday,3,2,0,0,9.563534995430393
2021-03-15,2021,Monday,3,3,1,0,10.342948561433541
2021-03-16,2021,Tuesday,3,3,0,0,10.759622367176728
2021-03-17,2021,Wednesday,3,3,0,0,10.776302859435983
2021-03-18,2021,Thursday,3,3,0,0,10.679357499112102
2021-03-19,2021,Friday,3,3,0,0,11.311488187314993
2021-03-20,2021,Saturday,3,3,0,0,11.782983282720275
2021-03-21,2021,Sunday,3,3,0,0,9.790647176976822
2021-03-22,2021,Monday,3,4,0,1,9.91003600301857
2021-03-23,2021,Tuesday,3,4,0,0,10.43803244389124
2021-03-24,2021,Wednesday,3,4,0,0,10.45421437978458
2021-03-25,2021,Thursday,3,4,0,0,10.360166579423819
2021-03-26,2021,Friday,3,4,0,0,10.973403773729961
2021-03-27,2021,Saturday,3,4,0,0,11.430806546339285
2021-03-28,2021,Sunday,3,4,0,0,9.498018554232194
2021-03-29,2021,Monday,3,5,0,0,9.825296498605995
2021-03-30,2021,Tuesday,3,5,1,0,10.264108527701342
2021-03-31,2021,Wednesday,3,5,1,0,10.280020831776882
2021-04-01,2021,Thursday,4,1,0,1,10.144915219296285
2021-04-02,2021,Friday,4,1,0,1,10.745411292198321
2021-04-03,2021,Saturday,4,1,0,0,11.309355377090581
2021-04-04,2021,Sunday,4,1,0,0,9.397103062899099
2021-04-05,2021,Monday,4,1,0,0,9.906391823229455
2021-04-06,2021,Tuesday,4,1,0,0,10.327129399576096
2021-04-07,2021,Wednesday,4,1,0,0,10.34313940402899
2021-04-08,2021,Thursday,4,2,0,0,10.3370778111444
2021-04-09,2021,Friday,4,2,0,0,10.94894833905854
2021-04-10,2021,Saturday,4,2,0,0,11.40533173938788
2021-04-11,2021,Sunday,4,2,0,0,9.476851177450065
2021-04-12,2021,Monday,4,2,0,0,9.99046199513432
2021-04-13,2021,Tuesday,4,2,0,0,10.41477014298686
2021-04-14,2021,Wednesday,4,2,0,0,10.430916015660053
2021-04-15,2021,Thursday,4,3,1,0,10.604792795625068
2021-04-16,2021,Friday,4,3,0,0,11.208960933157988
2021-04-17,2021,Saturday,4,3,0,0,11.676182400135263
2021-04-18,2021,Sunday,4,3,0,0,9.701904815684246
2021-04-19,2021,Monday,4,3,0,0,10.227712720881213
2021-04-20,2021,Tuesday,4,3,0,0,10.662097221165439
2021-04-21,2021,Wednesday,4,3,0,0,10.678626521553117
2021-04-22,2021,Thursday,4,4,0,0,10.266262098032183
2021-04-23,2021,Friday,4,4,0,0,10.873940914462842
2021-04-24,2021,Saturday,4,4,0,0,11.327197791364826
2021-04-25,2021,Sunday,4,4,0,0,9.4119285768418
2021-04-26,2021,Monday,4,4,0,0,9.922020826031074
2021-04-27,2021,Tuesday,4,4,0,0,10.343422186818792
2021-04-28,2021,Wednesday,4,4,0,0,10.359457449752162
2021-04-29,2021,Thursday,4,5,0,0,10.07403574564964
2021-04-30,2021,Friday,4,5,1,0,10.692753665004947
2021-05-01,2021,Saturday,5,1,0,1,11.560690234464255
2021-05-02,2021,Sunday,5,1,0,0,9.705528653821705
2021-05-03,2021,Monday,5,1,0,0,10.231532957847154
2021-05-04,2021,Tuesday,5,1,0,0,10.66607970865314
2021-05-05,2021,Wednesday,5,1,0,0,10.682615183035544
2021-05-06,2021,Thursday,5,1,0,0,10.586512652174143
2021-05-07,2021,Friday,5,1,0,0,11.213147684201475
2021-05-08,2021,Saturday,5,2,0,0,11.779670102800893
2021-05-09,2021,Sunday,5,2,0,0,9.787894209002056
2021-05-10,2021,Monday,5,2,0,0,10.318362426130399
2021-05-11,2021,Tuesday,5,2,0,0,10.756596939412656
2021-05-12,2021,Wednesday,5,2,0,0,10.77327274139351
2021-05-13,2021,Thursday,5,2,0,0,10.676354640500742
2021-05-14,2021,Friday,5,2,0,0,11.308307584014335
2021-05-15,2021,Saturday,5,3,1,0,12.084746088139687
2021-05-16,2021,Sunday,5,3,0,0,10.020334411041812
2021-05-17,2021,Monday,5,3,0,1,10.455009558963495
2021-05-18,2021,Tuesday,5,3,0,0,11.012041625722997
2021-05-19,2021,Wednesday,5,3,0,0,11.029113440032841
2021-05-20,2021,Thursday,5,3,0,0,10.929893754910433
2021-05-21,2021,Friday,5,3,0,0,11.57685414197964
2021-05-22,2021,Saturday,5,4,0,0,11.698971693269987
2021-05-23,2021,Sunday,5,4,0,0,9.720840761118541
2021-05-24,2021,Monday,5,4,0,0,10.247674925590452
2021-05-25,2021,Tuesday,5,4,0,0,10.68290724713773
2021-05-26,2021,Wednesday,5,4,0,0,10.69946880901799
2021-05-27,2021,Thursday,5,4,0,0,10.603214660216286
2021-05-28,2021,Friday,5,4,0,0,11.230838314624593
2021-05-29,2021,Saturday,5,5,0,0,11.47991916628892
2021-05-30,2021,Sunday,5,5,1,0,9.558867065125517
2021-05-31,2021,Monday,5,5,1,0,10.076922845207447
2021-06-01,2021,Tuesday,6,1,0,0,10.125062098060445
2021-06-02,2021,Wednesday,6,1,0,0,10.140758840398396
2021-06-03,2021,Thursday,6,1,0,0,10.049530936676367
2021-06-04,2021,Friday,6,1,0,0,10.644381039563703
2021-06-05,2021,Saturday,6,1,0,0,11.08806920602508
2021-06-06,2021,Sunday,6,1,0,0,9.213233258957025
2021-06-07,2021,Monday,6,1,0,1,9.612896919409426
2021-06-08,2021,Tuesday,6,2,0,0,10.210988005930897
2021-06-09,2021,Wednesday,6,2,0,0,10.226817958003553
2021-06-10,2021,Thursday,6,2,0,0,10.134815852565577
2021-06-11,2021,Friday,6,2,0,0,10.734714125492996
2021-06-12,2021,Saturday,6,2,0,0,11.18216763266491
2021-06-13,2021,Sunday,6,2,0,0,9.291420970255091
2021-06-14,2021,Monday,6,2,0,1,9.694476359324517
2021-06-15,2021,Tuesday,6,3,1,0,10.475437451459197
2021-06-16,2021,Wednesday,6,3,0,0,10.469681599724963
2021-06-17,2021,Thursday,6,3,0,0,10.375494653756482
2021-06-18,2021,Friday,6,3,0,0,10.989639144796302
2021-06-19,2021,Saturday,6,3,0,0,11.447718653985566
2021-06-20,2021,Sunday,6,3,0,0,9.512071063262447
2021-06-21,2021,Monday,6,3,0,0,10.027590670481555
2021-06-22,2021,Tuesday,6,4,0,0,10.141036090077002
2021-06-23,2021,Wednesday,6,4,0,0,10.156757596671643
2021-06-24,2021,Thursday,6,4,0,0,10.06538576555523
2021-06-25,2021,Friday,6,4,0,0,10.661174344740541
2021-06-26,2021,Saturday,6,4,0,0,11.105562504067175
